iter	Passed	Remaining
588	1328	926
589	1330	924
590	1333	922
591	1335	920
592	1337	918
593	1340	916
594	1342	913
595	1345	911
596	1347	909
597	1349	907
598	1353	905
599	1355	903
600	1358	901
601	1360	899
602	1362	897
603	1365	895
604	1367	893
605	1370	890
606	1373	889
607	1375	887
608	1378	884
609	1380	882
610	1383	880
611	1385	878
612	1388	876
613	1390	874
614	1393	872
615	1395	870
616	1398	867
617	1400	865
618	1402	863
619	1405	861
620	1408	859
621	1410	857
622	1412	854
623	1415	853
624	1418	850
625	1420	848
626	1423	846
627	1425	844
628	1428	842
629	1430	840
630	1432	837
631	1435	835
632	1437	833
633	1439	831
634	1442	829
635	1444	826
636	1447	824
637	1449	822
638	1452	820
639	1454	818
640	1456	815
641	1459	813
642	1461	811
643	1464	809
644	1467	807
645	1469	805
646	1471	803
647	1474	800
648	1476	798
649	1478	796
650	1481	794
651	1483	791
652	1485	789
653	1488	787
654	1490	785
655	1493	782
656	1495	780
657	1497	778
658	1500	776
659	1502	774
660	1505	771
661	1507	769
662	1509	767
663	1512	765
664	1514	763
665	1517	760
666	1519	758
667	1522	756
668	1524	754
669	1526	752
670	1529	749
671	1532	747
672	1534	745
673	1537	743
674	1539	741
675	1541	739
676	1544	736
677	1547	734
678	1549	732
679	1551	730
680	1554	728
681	1556	725
682	1558	723
683	1561	721
684	1563	719
685	1566	716
686	1568	714
687	1571	712
688	1574	710
689	1577	708
690	1579	706
691	1582	704
692	1584	702
693	1587	699
694	1589	697
695	1591	695
696	1594	693
697	1596	690
698	1598	688
699	1601	686
700	1603	683
701	1606	681
702	1608	679
703	1610	677
704	1612	674
705	1614	672
706	1617	670
707	1619	667
708	1621	665
709	1623	663
710	1626	661
711	1628	658
712	1630	656
713	1633	654
714	1635	651
715	1637	649
716	1639	647
717	1642	644
718	1644	642
719	1646	640
720	1648	637
721	1650	635
722	1653	633
723	1655	631
724	1657	628
725	1659	626
726	1661	624
727	1664	621
728	1666	619
729	1668	616
730	1670	614
731	1672	612
732	1675	610
733	1677	607
734	1679	605
735	1681	603
736	1683	600
737	1685	598
738	1687	596
739	1689	593
740	1691	591
741	1693	588
742	1695	586
743	1697	584
744	1699	581
745	1701	579
746	1703	576
747	1705	574
748	1707	572
749	1709	569
750	1711	567
751	1713	564
752	1715	562
753	1717	560
754	1719	558
755	1721	555
756	1723	553
757	1725	550
758	1727	548
759	1729	546
760	1731	543
761	1733	541
762	1735	539
763	1737	536
764	1739	534
765	1741	531
766	1743	529
767	1745	527
768	1747	524
769	1749	522
770	1750	520
771	1753	517
772	1755	515
773	1757	513
774	1759	510
775	1761	508
776	1763	506
777	1765	503
778	1767	501
779	1769	499
780	1771	496
781	1774	494
782	1776	492
783	1779	490
784	1782	488
785	1784	485
786	1787	483
787	1789	481
788	1791	479
789	1793	476
790	1796	474
791	1798	472
792	1801	470
793	1803	468
794	1806	465
795	1809	463
796	1812	461
797	1814	459
798	1816	457
799	1818	454
800	1821	452
801	1823	450
802	1825	447
803	1827	445
804	1829	443
805	1830	440
806	1833	438
807	1834	435
808	1836	433
809	1838	431
810	1840	428
811	1842	426
812	1844	424
813	1846	421
814	1848	419
815	1850	417
816	1852	414
817	1854	412
818	1856	410
819	1858	407
820	1860	405
821	1862	403
822	1864	400
823	1865	398
824	1867	396
825	1869	393
826	1871	391
827	1873	389
828	1875	386
829	1877	384
830	1879	382
831	1881	379
832	1883	377
833	1885	375
834	1887	372
835	1889	370
836	1891	368
837	1893	366
838	1895	363
839	1897	361
840	1899	359
841	1901	356
842	1903	354
843	1905	352
844	1907	349
845	1909	347
846	1911	345
847	1913	342
848	1915	340
849	1917	338
850	1920	336
851	1922	333
852	1924	331
853	1926	329
854	1929	327
855	1931	324
856	1933	322
857	1935	320
858	1937	317
859	1939	315
860	1941	313
861	1943	311
862	1945	308
863	1947	306
864	1949	304
865	1951	301
866	1953	299
867	1955	297
868	1957	295
869	1959	292
870	1961	290
871	1963	288
872	1966	286
873	1968	283
874	1970	281
875	1973	279
876	1975	277
877	1977	274
878	1979	272
879	1981	270
880	1984	268
881	1986	265
882	1989	263
883	1991	261
884	1994	259
885	1996	256
886	1998	254
887	2001	252
888	2003	250
889	2006	247
890	2008	245
891	2010	243
892	2013	241
893	2016	239
894	2018	236
895	2020	234
896	2023	232
897	2025	230
898	2027	227
899	2030	225
900	2032	223
901	2034	221
902	2037	218
903	2039	216
904	2041	214
905	2043	212
906	2046	209
907	2048	207
908	2050	205
909	2053	203
910	2055	200
911	2057	198
912	2060	196
913	2062	194
914	2065	191
915	2067	189
916	2070	187
917	2072	185
918	2075	182
919	2077	180
920	2080	178
921	2082	176
922	2085	173
923	2087	171
924	2090	169
925	2092	167
926	2095	165
927	2097	162
928	2100	160
929	2103	158
930	2105	156
