iter	Accuracy	MultiClass
350	0.8639426677	0.563675355
351	0.8635148144	0.5629942456
352	0.8636217777	0.5621583922
353	0.8646914108	0.5611265728
354	0.8660819339	0.5604332486
355	0.8676863836	0.559598632
356	0.8676863836	0.5586805498
357	0.8667237138	0.5578712248
358	0.867151567	0.5572274648
359	0.8667237138	0.5567661273
360	0.8665097871	0.5563741114
361	0.8667237138	0.5555670326
362	0.8677933469	0.5548703478
363	0.8698256498	0.5542203301
364	0.8699326131	0.5537706894
365	0.8704674297	0.5530618345
366	0.8696117232	0.5519879713
367	0.8699326131	0.5513409017
368	0.8711092095	0.5507807162
369	0.8715370628	0.5499966023
370	0.8741041823	0.5489019972
371	0.8744250722	0.5482428989
372	0.8749598888	0.5476113122
373	0.8748529254	0.5469999781
374	0.8754947053	0.5465973642
375	0.8780618248	0.5456434068
376	0.8766713017	0.5449430905
377	0.8761364852	0.5442132393
378	0.8765643384	0.543747631
379	0.8761364852	0.5432949937
380	0.8775270082	0.542455745
381	0.8781687881	0.541566579
382	0.8779548615	0.5412200092
383	0.8789175313	0.5403331119
384	0.8787036047	0.5400826957
385	0.8790244946	0.5398660723
386	0.8796662745	0.5388488423
387	0.8794523478	0.5384025311
388	0.8800941277	0.5380485924
389	0.8804150176	0.5375985376
390	0.8803080543	0.5371997115
391	0.8806289443	0.5367204938
392	0.8814846508	0.5357402331
393	0.8824473206	0.5352098398
394	0.8826612472	0.5343576412
395	0.8820194673	0.5342077658
396	0.8825542839	0.5337599942
397	0.8825542839	0.5333945162
398	0.8818055407	0.5319487826
399	0.8835169537	0.5314302365
400	0.8830891004	0.5305654372
401	0.8816985774	0.5298188705
402	0.8822333939	0.5293120895
403	0.8834099904	0.5283804904
404	0.8834099904	0.5277956544
405	0.8835169537	0.5272457325
406	0.883623917	0.5269365059
407	0.8829821371	0.5261492543
408	0.8826612472	0.5252650938
409	0.8844796235	0.524344979
410	0.8849074767	0.5236756043
411	0.8861910365	0.5225611945
412	0.8876885228	0.5220394561
413	0.8873676329	0.5214851711
414	0.8871537063	0.5203922002
415	0.886725853	0.519990314
416	0.8876885228	0.5192171826
417	0.8873676329	0.5188749055
418	0.888758156	0.5184297297
419	0.8896138624	0.517350022
420	0.8902556423	0.5166887135
421	0.890148679	0.5158551257
422	0.8898277891	0.5154328034
423	0.8896138624	0.5148340361
424	0.8900417157	0.5142305602
425	0.8896138624	0.513378578
426	0.8897208258	0.5127259919
427	0.8895068991	0.5120648393
428	0.8904695689	0.5113753001
429	0.8922879452	0.5101588971
430	0.8928227618	0.5091399659
431	0.8926088352	0.5083827559
432	0.8929297251	0.5077429312
433	0.8923949085	0.5071954794
434	0.891860092	0.5067704378
435	0.8917531287	0.506254786
436	0.893250615	0.5056374906
437	0.893250615	0.505509669
438	0.893250615	0.5050318265
439	0.8937854316	0.5044988917
440	0.8936784683	0.5043952016
441	0.8934645417	0.5040262308
442	0.8948550647	0.5032485677
443	0.8957107712	0.5023842576
444	0.8954968446	0.5021124635
445	0.8963525511	0.5013254663
446	0.8974221842	0.5009881103
447	0.8980639641	0.4997697448
448	0.8984918173	0.499159065
449	0.8985987806	0.4982128767
450	0.898384854	0.4979230165
451	0.8993475238	0.4973780448
452	0.8992405605	0.4968979178
453	0.8984918173	0.4964097359
454	0.8987057439	0.4959044921
455	0.9003101936	0.494926613
456	0.9007380468	0.4941513011
457	0.9009519735	0.4935079965
458	0.90148679	0.4925911793
459	0.9015937533	0.4921273044
460	0.9010589368	0.4916863631
461	0.90148679	0.4913779609
462	0.90180768	0.4910608263
463	0.90180768	0.4903458415
464	0.9027703498	0.4899312037
