iter	Passed	Remaining
695	1956	854
696	1959	851
697	1961	848
698	1963	845
699	1965	842
700	1968	839
701	1970	836
702	1972	833
703	1975	830
704	1977	827
705	1979	824
706	1981	821
707	1984	818
708	1986	815
709	1988	812
710	1991	809
711	1993	806
712	1995	803
713	1997	800
714	2000	797
715	2002	794
716	2004	791
717	2006	788
718	2008	785
719	2011	782
720	2013	779
721	2015	776
722	2018	773
723	2021	770
724	2023	767
725	2026	764
726	2029	762
727	2033	759
728	2036	757
729	2040	754
730	2043	751
731	2046	749
732	2049	746
733	2051	743
734	2054	740
735	2057	738
736	2060	735
737	2063	732
738	2066	729
739	2068	726
740	2071	724
741	2075	721
742	2077	718
743	2081	716
744	2083	713
745	2086	710
746	2089	707
747	2093	705
748	2095	702
749	2099	699
750	2102	697
751	2105	694
752	2108	691
753	2111	688
754	2113	685
755	2117	683
756	2120	680
757	2122	677
758	2125	674
759	2127	671
760	2130	669
761	2132	666
762	2135	663
763	2137	660
764	2139	657
765	2141	654
766	2143	651
767	2145	648
768	2147	645
769	2150	642
770	2152	639
771	2154	636
772	2157	633
773	2159	630
774	2161	627
775	2164	624
776	2166	621
777	2169	618
778	2171	615
779	2173	612
780	2175	609
781	2177	606
782	2179	603
783	2181	601
784	2183	598
785	2186	595
786	2188	592
787	2191	589
788	2192	586
789	2195	583
790	2197	580
791	2200	577
792	2202	574
793	2204	571
794	2207	569
795	2209	566
796	2211	563
797	2213	560
798	2216	557
799	2218	554
800	2220	551
801	2223	548
802	2225	545
803	2227	543
804	2229	540
805	2232	537
806	2234	534
807	2236	531
808	2239	528
809	2241	525
810	2244	522
811	2246	520
812	2248	517
813	2250	514
814	2253	511
815	2255	508
816	2257	505
817	2259	502
818	2262	499
819	2264	496
820	2266	494
821	2268	491
822	2270	488
823	2272	485
824	2274	482
825	2277	479
826	2279	476
827	2282	474
828	2284	471
829	2286	468
830	2288	465
831	2291	462
832	2293	459
833	2295	456
834	2298	454
835	2300	451
836	2303	448
837	2306	445
838	2309	443
839	2312	440
840	2314	437
841	2317	434
842	2320	432
843	2323	429
844	2326	426
845	2330	424
846	2332	421
847	2336	418
848	2340	416
849	2343	413
850	2348	411
851	2352	408
852	2381	410
853	2396	409
854	2408	408
855	2421	407
856	2433	406
857	2443	404
858	2446	401
859	2448	398
860	2451	395
861	2457	393
862	2464	391
863	2469	388
864	2471	385
865	2474	382
866	2477	380
867	2480	377
868	2482	374
869	2484	371
870	2487	368
871	2489	365
872	2491	362
873	2493	359
874	2495	356
875	2498	353
876	2500	350
877	2502	347
878	2505	344
879	2507	341
880	2509	338
881	2511	335
882	2513	333
883	2515	330
884	2518	327
885	2520	324
886	2522	321
887	2524	318
888	2526	315
889	2528	312
890	2530	309
891	2532	306
892	2535	303
893	2537	300
894	2540	298
895	2543	295
896	2546	292
897	2549	289
898	2552	286
899	2554	283
900	2557	280
901	2559	278
902	2562	275
903	2564	272
904	2567	269
905	2568	266
906	2571	263
907	2574	260
908	2576	257
909	2578	255
910	2580	252
