iter	Passed	Remaining
662	1641	834
663	1643	831
664	1646	829
665	1649	827
666	1651	824
667	1654	822
668	1656	819
669	1658	817
670	1661	814
671	1663	812
672	1665	809
673	1667	806
674	1670	804
675	1672	801
676	1674	798
677	1676	796
678	1679	793
679	1681	791
680	1684	788
681	1687	786
682	1689	783
683	1691	781
684	1693	778
685	1696	776
686	1698	773
687	1700	771
688	1703	768
689	1705	766
690	1707	763
691	1709	761
692	1712	758
693	1714	756
694	1717	753
695	1719	751
696	1721	748
697	1724	746
698	1726	743
699	1728	740
700	1731	738
701	1733	735
702	1735	733
703	1738	730
704	1740	728
705	1742	725
706	1745	723
707	1747	720
708	1749	717
709	1751	715
710	1754	713
711	1757	710
712	1759	708
713	1761	705
714	1763	703
715	1766	700
716	1768	698
717	1770	695
718	1772	692
719	1775	690
720	1777	687
721	1780	685
722	1782	682
723	1784	680
724	1787	677
725	1789	675
726	1791	672
727	1794	670
728	1796	667
729	1799	665
730	1801	663
731	1804	660
732	1806	657
733	1808	655
734	1810	652
735	1813	650
736	1815	647
737	1817	645
738	1819	642
739	1821	640
740	1824	637
741	1827	635
742	1829	632
743	1832	630
744	1834	627
745	1837	625
746	1840	623
747	1842	620
748	1845	618
749	1848	616
750	1850	613
751	1853	611
752	1856	609
753	1859	606
754	1861	604
755	1864	601
756	1866	599
757	1869	596
758	1871	594
759	1874	591
760	1876	589
761	1879	586
762	1881	584
763	1884	582
764	1886	579
765	1889	577
766	1891	574
767	1893	572
768	1896	569
769	1898	567
770	1901	564
771	1903	562
772	1906	559
773	1909	557
774	1911	555
775	1914	552
776	1916	550
777	1919	547
778	1922	545
779	1924	542
780	1926	540
781	1928	537
782	1930	535
783	1933	532
784	1935	530
785	1938	527
786	1940	525
787	1943	522
788	1945	520
789	1948	517
790	1951	515
791	1954	513
792	1956	510
793	1958	508
794	1961	505
795	1963	503
796	1966	500
797	1968	498
798	1970	495
799	1973	493
800	1975	490
801	1978	488
802	1980	485
803	1983	483
804	1985	480
805	1988	478
806	1990	476
807	1993	473
808	1996	471
809	1998	468
810	2001	466
811	2003	463
812	2006	461
813	2009	459
814	2011	456
815	2013	454
816	2016	451
817	2018	449
818	2021	446
819	2023	444
820	2025	441
821	2027	439
822	2029	436
823	2032	434
824	2034	431
825	2037	429
826	2040	426
827	2042	424
828	2045	421
829	2047	419
830	2049	416
831	2051	414
832	2054	411
833	2056	409
834	2059	406
835	2061	404
836	2063	401
837	2066	399
838	2068	396
839	2070	394
840	2072	391
841	2075	389
842	2077	386
843	2080	384
844	2082	381
845	2084	379
846	2086	376
847	2089	374
848	2091	371
849	2093	369
850	2096	367
851	2098	364
852	2100	362
853	2103	359
854	2106	357
855	2108	354
856	2110	352
857	2113	349
858	2115	347
859	2117	344
860	2119	342
861	2121	339
862	2124	337
863	2126	334
864	2128	332
865	2130	329
866	2133	327
867	2135	324
868	2137	322
869	2140	319
870	2142	317
871	2144	314
872	2146	312
873	2149	309
874	2151	307
875	2153	304
876	2155	302
877	2158	299
878	2160	297
879	2163	294
880	2165	292
881	2168	290
882	2171	287
883	2173	285
884	2175	282
885	2178	280
886	2180	277
887	2182	275
888	2185	272
889	2187	270
890	2189	267
891	2191	265
892	2193	262
893	2196	260
894	2198	257
895	2200	255
896	2203	252
897	2205	250
898	2208	248
899	2210	245
900	2212	243
901	2215	240
902	2217	238
903	2220	235
904	2222	233
905	2224	230
906	2227	228
907	2229	225
908	2231	223
909	2233	220
910	2236	218
911	2238	215
912	2240	213
913	2242	211
914	2245	208
915	2247	206
916	2249	203
917	2251	201
918	2253	198
919	2256	196
920	2258	193
921	2261	191
922	2263	188
923	2265	186
924	2267	183
925	2269	181
926	2272	178
927	2274	176
928	2276	173
929	2278	171
930	2280	169
931	2282	166
932	2285	164
933	2287	161
934	2289	159
935	2292	156
936	2294	154
937	2296	151
938	2299	149
939	2301	146
940	2303	144
941	2305	141
942	2308	139
943	2310	137
944	2312	134
945	2314	132
946	2317	129
947	2319	127
948	2321	124
949	2324	122
950	2326	119
951	2328	117
952	2331	114
953	2333	112
954	2335	110
955	2338	107
956	2341	105
957	2343	102
958	2345	100
959	2347	97
960	2349	95
961	2352	92
962	2354	90
963	2357	88
964	2359	85
965	2361	83
966	2364	80
967	2366	78
968	2368	75
969	2371	73
970	2373	70
971	2375	68
972	2378	65
973	2380	63
974	2383	61
975	2386	58
976	2388	56
977	2390	53
978	2392	51
979	2395	48
980	2398	46
981	2400	43
982	2402	41
983	2405	39
984	2408	36
985	2410	34
986	2412	31
987	2415	29
988	2417	26
989	2419	24
990	2422	22
991	2425	19
992	2427	17
993	2429	14
994	2432	12
995	2434	9
996	2436	7
997	2438	4
998	2441	2
999	2443	0
